LIIF Training — 2026-05-26 22:58:58
Config: {'model': 'liif', 'encoder': 'edsr', 'encoder_args': {'n_feats': 64, 'n_resblocks': 16}, 'liif_args': {'feat_dim': 64, 'hidden_dim': 256, 'local_ensemble': True, 'feat_unfold': True, 'cell_decode': True}, 'train_hr': 'data/DIV2K/DIV2K_train_HR', 'val_hr': 'data/DIV2K/DIV2K_valid_HR', 'patch_size': 48, 'scale_min': 1.0, 'scale_max': 4.0, 'sample_q': 2304, 'val_scale': 4, 'val_batch_q': 30000, 'epochs': 500, 'batch_size': 16, 'lr': 0.0001, 'opt': 'adam', 'crit': 'l1', 'scheduler': 'multi_step', 'milestones': [200, 400], 'gamma': 0.5, 'save_dir': 'experiments/liif_edsr'}
Parameters: 1,530,371
============================================================
[Epoch 079/500] loss=0.019837 | val_psnr(x4)=27.81 dB | lr=1.00e-04 | time=102.0s
[Epoch 080/500] loss=0.019170 | val_psnr(x4)=27.68 dB | lr=1.00e-04 | time=102.9s
[Epoch 081/500] loss=0.019453 | val_psnr(x4)=27.71 dB | lr=1.00e-04 | time=103.4s
[Epoch 082/500] loss=0.019722 | val_psnr(x4)=27.70 dB | lr=1.00e-04 | time=102.5s
[Epoch 083/500] loss=0.019612 | val_psnr(x4)=27.85 dB | lr=1.00e-04 | time=102.3s
[Epoch 084/500] loss=0.018610 | val_psnr(x4)=27.79 dB | lr=1.00e-04 | time=102.8s
[Epoch 085/500] loss=0.018694 | val_psnr(x4)=27.80 dB | lr=1.00e-04 | time=102.3s
[Epoch 086/500] loss=0.018763 | val_psnr(x4)=27.84 dB | lr=1.00e-04 | time=102.6s
[Epoch 087/500] loss=0.019217 | val_psnr(x4)=27.76 dB | lr=1.00e-04 | time=102.7s
[Epoch 088/500] loss=0.019306 | val_psnr(x4)=27.87 dB | lr=1.00e-04 | time=102.1s
[Epoch 089/500] loss=0.019078 | val_psnr(x4)=27.84 dB | lr=1.00e-04 | time=102.8s
[Epoch 090/500] loss=0.019232 | val_psnr(x4)=27.73 dB | lr=1.00e-04 | time=102.5s
[Epoch 091/500] loss=0.019563 | val_psnr(x4)=27.91 dB | lr=1.00e-04 | time=102.2s
[Epoch 092/500] loss=0.019514 | val_psnr(x4)=27.75 dB | lr=1.00e-04 | time=102.4s
[Epoch 093/500] loss=0.018812 | val_psnr(x4)=27.93 dB | lr=1.00e-04 | time=101.6s
[Epoch 094/500] loss=0.018797 | val_psnr(x4)=27.95 dB | lr=1.00e-04 | time=102.2s
[Epoch 095/500] loss=0.018500 | val_psnr(x4)=27.86 dB | lr=1.00e-04 | time=101.9s
